company_name,ico,segment,is_client,play_type,employee_count,current_acv_eur,potential_acv_eur,whitespace_eur,current_products,top_upsell,all_upsells,competitor_tools,nearest_renewal,days_to_renewal
Škoda Auto a.s.,00177041,D&M,False,greenfield,34884,0,800000,800000,,,,,,
Liebherr,25736833,D&M,False,displacement,53659,0,800000,800000,,,,catia; siemens plm; pro/engineer; ptc creo; ptc co-create,,
Atlas Copco,27764907,D&M,False,displacement,55840,0,800000,800000,,,,catia; siemens simatic wincc; siemens plm; mathcad; pro/engineer,,
Vaillant Group,45241881,D&M,False,displacement,13452,0,800000,800000,,,,desigo cc; ptc windchill plm,,
ZEISS,15779394,D&M,False,displacement,46485,0,800000,800000,,,,creo; ptc pro/engineer wildfire; dassault systemes; ptc windchill plm; siemens plm,,
SKF,00006548,AEC,False,displacement,36286,0,800000,800000,,,,catia; siemens simatic wincc; siemens plm; mathcad; pro/engineer,,
Renishaw s.r.o.,26260280,D&M,False,displacement,5342,0,800000,800000,,,,dassault systemes; siemens plm; siemens teamcenter plm software; mathcad; siemens nx,,
PBS GROUP,61057801,D&M,False,greenfield,1780,0,800000,800000,,,,,,
KOLLMORGEN,15528910,D&M,False,displacement,2000,0,800000,800000,,,,solidworks; ptc creo; ptc windchill plm,,
Freudenberg Sealing Technologies,25253824,D&M,False,displacement,15000,0,800000,800000,,,,siemens nx; siemens plm; dassault systemes; solidworks,,
"DIEFFENBACHER - CZ, hydraulické lisy, s.r.o.",45475067,D&M,False,displacement,1057,0,800000,800000,,,,creo; Creo,,
Danfoss,60471158,D&M,False,displacement,41900,0,800000,800000,,,,catia; siemens plm; mathcad; pro/engineer; enovia,,
Daikin,26357895,D&M,False,greenfield,1000,0,800000,800000,,,,,,
Hexagon Manufacturing Intelligence,27897958,AEC,False,displacement,5000,0,600000,600000,,,,simulia abaqus unified fea; solidworks,,
PRECIOSA,00012556,D&M,False,greenfield,5000,0,600000,600000,,,,,,
GROHE,27565751,AEC,False,displacement,6413,0,600000,600000,,,,dassault systemes; ptc windchill plm; siemens teamcenter plm software; siemens plm; ptc creo,,
Asseco Central Europe,27074358,D&M,False,greenfield,33032,0,600000,600000,,,,,,
Ingersoll-Rand,27813941,D&M,False,displacement,21000,0,600000,600000,,,,catia; ptc product lifecycle management (plm); dassault systemes; delmia apriso; ptc creo (pro/engineer),,
IONBOND,26094908,D&M,False,displacement,750,0,600000,600000,,,,solidworks,,
